영업상태명,폐업일자,사업장명,좌표정보(x),좌표정보(y),도로명전체주소
폐업,2024.2.28,주식회사 부일,126.9913335,37.28755368,"경기도 수원시 장안구 수성로 175, 트레이더스홀세일클럽 수원화서점 지하2층 일부호 (정자동)"
폐업,2024.3.3,(주)부일,126.9913335,37.28755368,"경기도 수원시 장안구 수성로 175, 지하2층 일부호 (정자동)"
폐업,2024.3.3,카페큐브,127.059536,37.28581005,"경기도 수원시 영통구 광교중앙로 140, 수원컨벤션센터 (하동)"
폐업,2024.2.28,플로르패션하우스,126.9991457,37.28810869,"경기도 수원시 팔달구 수성로***번길 **, *층 (화서동)"
폐업,2024.3.3,SD푸드,127.0087876,37.29279915,"경기도 수원시 장안구 수성로 337, 하이웨이디씨클럽 (정자동)"
폐업,2024.3.1,하나실업,127.0191248,37.27592837,"경기도 수원시 팔달구 수원천로 251-2, 2층 (영동)"
폐업,2024.2.28,김찬길 명인 핫바,126.9642316,37.25616104,"경기도 수원시 권선구 호매실로90번길 20, 일부호 (호매실동)"
폐업,2024.2.29,심봉사 도로케,127.0574398,37.28520631,"경기도 수원시 영통구 광교중앙로 124, 갤러리아 광교 지하1층 일부호 (하동)"
폐업,2024.2.29,유농위드,127.0308995,37.23893232,경기도 수원시 권선구 곡반정로 121 (곡반정동)
폐업,2024.2.28,(주)미트뱅크,126.9954329,37.29656676,"경기도 수원시 장안구 정자천로 187, 롯데프라자 1층 일부호 (정자동)"
폐업,2024.3.4,장손족발(천천점),126.9825341,37.29587416,"경기도 수원시 장안구 만석로19번길 25-10, 롯데마트 천천점 지하1층 일부호 (천천동)"
폐업,2024.2.28,주식회사 해원에스디,127.0347025,37.2502617,"경기도 수원시 권선구 동수원로 232, 롯데마트 지하1층 일부호 (권선동)"
폐업,2024.2.27,주식회사 정푸드,126.9424281,37.27334221,"경기도 수원시 권선구 금곡로118번길 10-31, 1층 일부호 (금곡동)"
폐업,2024.2.27,(주)신우에프엔비,127.0343125,37.26630108,"경기도 수원시 팔달구 인계로 154, 킴스클럽 지하1층 일부호 (인계동)"
폐업,2024.2.28,부산축산,127.0505154,37.29067296,"경기도 수원시 영통구 센트럴타운로 85, 지하1층 (이의동, 광교C1 호반베르디움, Summit Place광교)"
폐업,2024.2.28,부산축산,126.9971086,37.264174,"경기도 수원시 권선구 세화로 134, 롯데마트 수원점 1층 (서둔동)"
폐업,2024.2.28,(주)케이프라이드,127.072541,37.25177933,"경기도 수원시 영통구 봉영로 1576, 홈플러스 영통점 2층 (영통동)"
폐업,2024.3.3,착한어묵가게,127.059536,37.28581005,"경기도 수원시 영통구 광교중앙로 140, 수원컨벤션센터 1층 (하동)"
폐업,2024.2.29,(주)제이와이에스유통,127.0574398,37.28520631,"경기도 수원시 영통구 광교중앙로 124, 갤러리아 광교 지1층 (하동)"
폐업,2024.3.5,나짱,127.0518953,37.2429287,"경기도 수원시 영통구 영통로***번길 **, ***동 ***호 (망포동, 망포역마을 쌍용아파트)"
폐업,2024.2.28,주식회사 유농위드,126.9673538,37.28257561,"경기도 수원시 권선구 서부로 1937, 수원 농수산물 종합유통센터 1층 (구운동)"
폐업,2024.2.29,골디스,126.9971086,37.264174,"경기도 수원시 권선구 세화로 134, 롯데몰 수원점 3층 (서둔동)"
폐업,2024.2.29,주)제이와이에스유통,126.9998911,37.26616877,"경기도 수원시 팔달구 덕영대로 924, AK플라자 지하1층 행사일부호 (매산로1가)"
폐업,2024.2.29,골디스,126.9998911,37.26616877,"경기도 수원시 팔달구 덕영대로 924, AK플라자 지하1층 푸드홀호 (매산로1가)"
폐업,2024.1.24,Fun City,126.9913335,37.28755368,"경기도 수원시 장안구 수성로 175, 스타필드 5층 (정자동)"
폐업,2024.2.29,가메골푸드(주),126.9998911,37.26616877,"경기도 수원시 팔달구 덕영대로 924, AK플라자 지하1층 (매산로1가)"
폐업,2024.2.29,메종 드 행궁,127.0161036,37.28506252,"경기도 수원시 팔달구 정조로 862-1, 302호 (북수동)"
